,pH,Solvent,Product 3_logP,Amine 2_logP,Aryl Bromide 1_logP,Extraction_eff_Product 3_aq,Fraction_extracted_Product 3_aq,Fraction_extracted_Amine 2_aq,Fraction_extracted_Aryl Bromide 1_aq,Volume_ratio
0,0,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,0.20248010315294085,0.9999999999999989,0.9999999999999953,0.9959503979369458,1
1,0.1,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,0.2546403453499263,0.9999999999999978,0.9999999999999925,0.994907193,1
2,0.2,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,0.3201510320925458,0.9999999999999958,0.9999999999999882,0.9935969793581608,1
3,0.30000000000000004,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,0.40237916343158975,0.9999999999999913,0.9999999999999811,0.991952417,1
4,0.4,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,0.5055120063742227,0.9999999999999829,0.9999999999999702,0.9898897598725451,1
5,0.5,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,0.6347402884968495,0.9999999999999658,0.9999999999999527,0.9873051942301099,1
6,0.6000000000000001,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,0.7964726666012402,0.9999999999999318,0.9999999999999252,0.9840705466680489,1
7,0.7000000000000001,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,0.9985809913343555,0.9999999999998641,0.9999999999998814,0.9800283801734287,1
8,0.8,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,1.2506715616305284,0.9999999999997291,0.9999999999998119,0.9749865687675707,1
9,0.9,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,1.5643703868656138,0.9999999999994595,1,0.9687125922629688,1
10,1,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,1.9535993167938839,1,0.9999999999995279,0.9609280136645523,1
11,1.1,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,2.434803568,0.9999999999978497,0.9999999999992519,0.9513039286394968,1
12,1.2000000000000002,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,3.0270688234811662,0.9999999999957108,0.9999999999988145,0.9394586235313025,1
13,1.3,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,3.752038026026211,0.9999999999914455,0.9999999999981215,0.9249592394807123,1
14,1.4000000000000001,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,4.633507138785327,0.9999999999829403,0.9999999999970235,0.907329857,1
15,1.5,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,5.696553027436536,0.9999999999659834,0.9999999999952838,0.886068939,1
16,1.6,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,6.966039610662331,0.9999999999321834,1,0.8606792077847771,1
17,1.7000000000000002,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,8.464382668868863,0.9999999998648268,0.9999999999881632,0.8307123466115763,1
18,1.8,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,10.208555971528835,0.9999999997306417,0.9999999999812508,0.7958288805331774,1
19,1.9000000000000001,"1,1,1-Trichloroethane",6.08306187,-0.70579639,6.63917464,12.20651201,0.9999999994634308,0.9999999999703062,0.75586976,1
