,AZ_SOLVENT_ID,CAS_ID,Preferred Name,MELTING POINT,BOILING POINT,DENSITY,MISCIBILITY,ICH CLASS,ACID,ALCOHOL,ALKENE,AMIDE,AMINE,ANHYDRIDE,ANILINES,AROMATIC,CARBONATE,CHLORO,ESTER,ETHER,FLUORO,HALOGEN,HETEROAROMATIC AMINES,HYDROCARBON,KETONE ALDEHYDE,NITRILE,NITRO,NITROGEN BASES,OTHER,PHOSPHORUS CONTAINING,PRIMARY AMIDE,PRIMARY AMINE,SECONDARY AMIDE,SECONDARY AMINE,SILICONE,SULFIDE,SULFITE,SULFONE,SULFOXIDE,SULFUR CONTAINING,TERTIARY AMIDE,TERTIARY AMINE,UREA
0,1.0,71-55-6,"1,1,1-Trichloroethane",-30.4,74.1,1.339,N,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1,2.0,632-22-4,"1,1,3,3-Tetramethylurea",-1.2,175.2,0.962,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
2,3.0,75-34-3,"1,1-Dichloroethane",-97,57.3,1.168,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3,4.0,75-35-4,"1,1-Dichloroethene",-122.6,31.6,1.175,N,1,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4,5.0,107-15-3,"1,2-Diaminoethane",11.1,117,0.899,Y,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
5,6.0,95-50-1,"1,2-Dichlorobenzene",-17,180.5,1.3,N,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6,7.0,107-06-2,"1,2-Dichloroethane",-35.7,83.7,1.246,N,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7,8.0,110-71-4,DME,-69,84.5,0.864,Y,2,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
8,9.0,107-21-1,Ethylene glycol,-13,197.2,1.109,Y,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
9,10.0,108-67-8,Mesitylene,-44.7,164.7,0.861,N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
